country,season,gender,age_group,registered_players,metric_name,source_report,source_file,source_page,quality_flag,notes
Italy,2021-22,female,total,36552,tesserati,ReportCalcio 2023,Report_Calcio_2023_ITA_ALTA.pdf,38,confirmed,
Italy,2021-22,male,total,1012508,tesserati,ReportCalcio 2023,Report_Calcio_2023_ITA_ALTA.pdf,38,confirmed,
Italy,2021-22,total,total,1049060,tesserati,ReportCalcio 2023,Report_Calcio_2023_ITA_ALTA.pdf,38,confirmed,
Italy,2022-23,female,dilettantistica,13830,tesserati,ReportCalcio 2024,Report_Calcio_2024_ITA_ALTA.pdf,45,confirmed,
Italy,2022-23,male,dilettantistica,354811,tesserati,ReportCalcio 2024,Report_Calcio_2024_ITA_ALTA.pdf,45,confirmed,
Italy,2022-23,total,dilettantistica,368641,tesserati,ReportCalcio 2024,Report_Calcio_2024_ITA_ALTA.pdf,45,confirmed,
Italy,2022-23,female,professionistica,887,tesserati,ReportCalcio 2024,Report_Calcio_2024_ITA_ALTA.pdf,45,confirmed,
Italy,2022-23,male,professionistica,13728,tesserati,ReportCalcio 2024,Report_Calcio_2024_ITA_ALTA.pdf,45,confirmed,
Italy,2022-23,total,professionistica,14615,tesserati,ReportCalcio 2024,Report_Calcio_2024_ITA_ALTA.pdf,45,confirmed,
Italy,2022-23,female,sgs,27865,tesserati,ReportCalcio 2024,Report_Calcio_2024_ITA_ALTA.pdf,45,confirmed,
Italy,2022-23,male,sgs,697077,tesserati,ReportCalcio 2024,Report_Calcio_2024_ITA_ALTA.pdf,45,confirmed,
Italy,2022-23,total,sgs,724942,tesserati,ReportCalcio 2024,Report_Calcio_2024_ITA_ALTA.pdf,45,confirmed,
Italy,2022-23,female,total,42582,tesserati,ReportCalcio 2024,Report_Calcio_2024_ITA_ALTA.pdf,45,confirmed,
Italy,2022-23,male,total,1065616,tesserati,ReportCalcio 2024,Report_Calcio_2024_ITA_ALTA.pdf,45,confirmed,
Italy,2022-23,total,total,1108198,tesserati,ReportCalcio 2024,Report_Calcio_2024_ITA_ALTA.pdf,45,confirmed,
