country,season,sport,gender,age_group,registered_players,metric_name,source_name,source_url,source_file,quality_flag,age_label,notes
Spain,2014-15,futsal,male,cadete,11109,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2014-2015.pdf,confirmed,cadete,
Spain,2014-15,futsal,male,debutante,290,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2014-2015.pdf,confirmed,debutante,
Spain,2014-15,futsal,male,infantil,11365,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2014-2015.pdf,confirmed,infantil,
Spain,2014-15,futsal,male,juvenil,10848,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2014-2015.pdf,confirmed,juvenil,
Spain,2014-15,futsal,male,prebenjamin,9078,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2014-2015.pdf,confirmed,prebenjamin,
Spain,2014-15,futsal,male,profesional,163,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2014-2015.pdf,confirmed,profesional,
Spain,2015-16,football,female,aficionado,11178,licencias,RFEF Memoria Anual 2016,,rfef_memoria_2016.pdf,confirmed,aficionado,Image-verified. Replaces prior PDF-parser entry.
Spain,2015-16,football,female,alevin,2974,licencias,RFEF Memoria Anual 2016,,rfef_memoria_2016.pdf,confirmed,alevin,Image-verified. Replaces prior PDF-parser entry.
Spain,2015-16,football,female,benjamin,1695,licencias,RFEF Memoria Anual 2016,,rfef_memoria_2016.pdf,confirmed,benjamin,Image-verified. Replaces prior PDF-parser entry.
Spain,2015-16,football,female,cadete,5323,licencias,RFEF Memoria Anual 2016,,rfef_memoria_2016.pdf,confirmed,cadete,Image-verified. Replaces prior PDF-parser entry.
Spain,2015-16,football,female,debutante,89,licencias,RFEF Memoria Anual 2016,,rfef_memoria_2016.pdf,confirmed,debutante,Image-verified. Replaces prior PDF-parser entry.
Spain,2015-16,football,female,infantil,3947,licencias,RFEF Memoria Anual 2016,,rfef_memoria_2016.pdf,confirmed,infantil,Image-verified. Replaces prior PDF-parser entry.
Spain,2015-16,football,female,juvenil,5819,licencias,RFEF Memoria Anual 2016,,rfef_memoria_2016.pdf,confirmed,juvenil,Image-verified. Replaces prior PDF-parser entry.
Spain,2015-16,football,female,prebenjamin,743,licencias,RFEF Memoria Anual 2016,,rfef_memoria_2016.pdf,confirmed,prebenjamin,Image-verified. Replaces prior PDF-parser entry.
Spain,2015-16,football,female,profesional,63,licencias,RFEF Memoria Anual 2016,,rfef_memoria_2016.pdf,confirmed,profesional,Image-verified. Replaces prior PDF-parser entry.
Spain,2015-16,football,male,aficionado,121215,licencias,RFEF Memoria Anual 2016,,rfef_memoria_2016.pdf,confirmed,aficionado,Image-verified. Replaces prior PDF-parser entry.
Spain,2015-16,football,male,alevin,117754,licencias,RFEF Memoria Anual 2016,,rfef_memoria_2016.pdf,confirmed,alevin,Image-verified. Replaces prior PDF-parser entry.
Spain,2015-16,football,male,benjamin,93116,licencias,RFEF Memoria Anual 2016,,rfef_memoria_2016.pdf,confirmed,benjamin,Image-verified. Replaces prior PDF-parser entry.
Spain,2015-16,football,male,cadete,104815,licencias,RFEF Memoria Anual 2016,,rfef_memoria_2016.pdf,confirmed,cadete,Image-verified. Replaces prior PDF-parser entry.
Spain,2015-16,football,male,debutante,5414,licencias,RFEF Memoria Anual 2016,,rfef_memoria_2016.pdf,confirmed,debutante,Image-verified. Replaces prior PDF-parser entry.
Spain,2015-16,football,male,infantil,112382,licencias,RFEF Memoria Anual 2016,,rfef_memoria_2016.pdf,confirmed,infantil,Image-verified. Replaces prior PDF-parser entry.
Spain,2015-16,football,male,juvenil,1392,licencias,RFEF Memoria Anual 2016,,rfef_memoria_2016.pdf,confirmed,juvenil,Image-verified. Replaces prior PDF-parser entry.
Spain,2015-16,football,male,prebenjamin,57337,licencias,RFEF Memoria Anual 2016,,rfef_memoria_2016.pdf,confirmed,prebenjamin,Image-verified. Replaces prior PDF-parser entry.
Spain,2015-16,football,male,profesional,2668,licencias,RFEF Memoria Anual 2016,,rfef_memoria_2016.pdf,confirmed,profesional,Image-verified. Replaces prior PDF-parser entry.
Spain,2015-16,football,male,veterano,104283,licencias,RFEF Memoria Anual 2016,,rfef_memoria_2016.pdf,confirmed,veterano,Image-verified. Replaces prior PDF-parser entry.
